model,accuracy,precision,recall,f1_score
XGBoost,0.43333730872428655,0.42343917910380524,0.43333730872428655,0.3991298322705668
Logistic Regression,0.4501278944087595,0.4339110438011399,0.4501278944087595,0.38563321356296903
