Date,Adj Close,Close,High,Low,Open,Volume,Ticker,daily_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,sma_5,sma_10,sma_20,sma_50,price_vs_sma_10,price_vs_sma_20,price_vs_sma_50,ma_10_20_ratio,rsi_14,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,volatility_10,volatility_20,atr_14,volume_sma_10,volume_sma_20,volume_ratio
2019-03-14,43.74230194091797,45.932498931884766,46.025001525878906,45.63999938964844,45.97499847412109,94318000,AAPL,0.011116553514043392,0.004422105110627239,0.011235381968699665,0.03464224225036894,-0.01157462882769189,-0.00983588533613522,44.90800018310547,44.28825035095215,43.70399990081787,41.359249877929685,0.03712606770200089,0.05099073394024045,0.11057379104922993,1.0133683519005166,75.74160237657347,0.9708644478653667,0.8555834229622198,0.11528102490314696,43.70399990081787,45.59121024154171,41.81678956009403,0.08636327773232139,1.090421476339557,0.012556737166027114,0.00990577460022302,0.700178691319058,104702640.0,96892720.0,0.9734271057722397
2019-03-15,44.311309814453125,46.52999877929688,46.83250045776367,45.935001373291016,46.212501525878906,156171600,AAPL,0.013008215562104963,0.011116553514043392,0.004422105110627239,0.011235381968699665,0.0023768328238225056,0.010511160198520386,45.56849975585938,44.567000198364255,43.895499801635744,41.5002498626709,0.04404601099906813,0.060017518642377254,0.12119803936771478,1.0152977047707175,76.98590969822516,1.0731155069871505,0.899089839767206,0.1740256672199445,43.895499801635744,46.10372532335557,41.68727427991592,0.10061284330734682,1.0965194568554122,0.012680226304953681,0.010112972918997645,0.7126789093017584,109965320.0,100334160.0,1.556514750310363
2019-03-18,44.76365661621094,47.005001068115234,47.09749984741211,46.4474983215332,46.45000076293945,104879200,AAPL,0.010208517113258653,0.013008215562104963,0.011116553514043392,0.004422105110627239,0.03464224225036894,0.00502946148867256,46.0245002746582,44.87125015258789,44.115499877929686,41.729399871826175,0.047552740524754,0.06549854808810918,0.12642408499746738,1.0171311733234218,78.72428162722721,1.1788894195724993,0.9550497557282647,0.2238396638442346,44.115499877929686,46.6368963715428,41.594103384316576,0.11430887105847018,1.072996194272673,0.012729677410512685,0.010069447384012062,0.7210717882428855,109478760.0,100652760.0,1.0419903040910155
2019-03-19,44.40890884399414,46.63249969482422,47.247501373291016,46.47999954223633,47.087501525878906,126585600,AAPL,-0.007924717898659783,0.010208517113258653,0.013008215562104963,0.011116553514043392,0.011235381968699665,-0.0018197743139706235,46.30550003051758,45.14625015258789,44.31049995422363,41.92074989318848,0.03292077497495405,0.05240292352826992,0.1123966010541555,1.0188612224919074,73.52701750756151,1.218610872081129,1.0077619789988377,0.21084889308229138,44.31049995422363,46.98040770254603,41.64059220590123,0.12050903289652044,0.9348464365593875,0.013320922635746902,0.010470435172597185,0.7353575570242751,114242360.0,103187480.0,1.226753478232049
2019-03-20,44.7969856262207,47.040000915527344,47.372501373291016,46.182498931884766,46.557498931884766,124140800,AAPL,0.008738566951588034,-0.007924717898659783,0.010208517113258653,0.013008215562104963,0.004422105110627239,-0.005753970910156836,46.62799987792969,45.4872501373291,44.51212501525879,42.12189994812012,0.03413595619674492,0.0567907261089422,0.11675876381323391,1.0219069550540676,80.39690102998236,1.2683515847057407,1.0598799001402184,0.20847168456552234,44.51212501525879,47.370142274005126,41.65410775651245,0.12841522429075702,0.9422429382699743,0.012650305453837342,0.010506279486868815,0.7848219190325061,118332280.0,104171640.0,1.191694783724246
2019-03-21,46.44689178466797,48.772499084472656,49.08250045776367,47.45249938964844,47.505001068115234,204136800,AAPL,0.03683031750055599,0.008738566951588034,-0.007924717898659783,0.010208517113258653,0.011116553514043392,-0.01157462882769189,47.19599990844726,46.05200004577637,44.8125,42.34359992980957,0.05907450351759036,0.0883681804066423,0.1518269387893303,1.0276596941874783,83.75836032635355,1.431073061524586,1.134118532417092,0.296954529107494,44.8125,48.124140846991175,41.500859153008825,0.14779987043754197,1.0978907839705132,0.013704427549531401,0.012451736701027456,0.8903576987130312,128827400.0,110928540.0,1.8402549965951054
2019-03-22,45.48504257202149,47.76250076293945,49.42250061035156,47.69499969482422,48.834999084472656,169630800,AAPL,-0.020708356973546005,0.03683031750055599,0.008738566951588034,-0.007924717898659783,0.013008215562104963,0.0023768328238225056,47.442500305175784,46.50550003051758,45.038500022888186,42.53229995727539,0.0270290768102055,0.06048160437552208,0.12297009122285685,1.03257213288373,73.05824310079271,1.4616832064708944,1.1996314672278525,0.2620517392430419,45.038500022888186,48.51198362160465,41.56501642417172,0.15424508351527105,0.8921136609163567,0.017113115321926758,0.013811166450402555,0.9462506430489687,136190720.0,115627440.0,1.4670462305487348
2019-03-25,44.93507766723633,47.185001373291016,47.994998931884766,46.650001525878906,47.87749862670898,175381200,AAPL,-0.012091062662626273,-0.020708356973546005,0.03683031750055599,0.008738566951588034,0.010208517113258653,0.03464224225036894,47.47850036621094,46.75150032043457,45.21987514495849,42.706999969482425,0.009272452218329397,0.043457135209529874,0.10485403814382854,1.0338706192922082,68.8984375784496,1.4229398279073422,1.2442931393637504,0.17864668854359178,45.21987514495849,48.746177355870124,41.69357293404686,0.15596249213902458,0.7786383739674558,0.016030410295452425,0.014318111643263177,1.0162503378731873,140924440.0,120021820.0,1.461244297078648
2019-03-26,44.470821380615234,46.6974983215332,48.220001220703125,46.14500045776367,47.915000915527344,199202000,AAPL,-0.010331737576970035,-0.012091062662626273,-0.020708356973546005,0.03683031750055599,-0.007924717898659783,0.011235381968699665,47.49150009155274,46.89850006103516,45.37562503814697,42.879499969482424,-0.004285888445053954,0.029131792284402547,0.08904017898455141,1.033561521667369,67.09387573934308,1.3374803582041395,1.2629305831318283,0.0745497750723112,45.37562503814697,48.872467174277986,41.878782902015956,0.15412865974589857,0.6890095737705767,0.016610880841024,0.01466313602581419,1.1360718863351014,147857600.0,126567880.0,1.573874825113607
2019-03-27,44.87080383300781,47.11750030517578,47.43999862670898,46.63750076293945,47.1875,119393600,AAPL,0.008994100299563712,-0.010331737576970035,-0.012091062662626273,-0.020708356973546005,0.008738566951588034,0.004422105110627239,47.50699996948242,47.06749992370605,45.54562511444092,43.071849975585934,0.0010623122441340005,0.03451210048792319,0.09392794439716456,1.0334142918324465,72.46131222943026,1.2887874235625247,1.2681019512179676,0.020685472344557088,45.54562511444092,49.03362845312386,42.05762177575797,0.15316524166344225,0.7253259297808469,0.016707018418372067,0.014712569650667338,1.1487503051757817,147383960.0,126970480.0,0.9403256567983361
2019-03-28,44.93032455444336,47.18000030517578,47.38999938964844,46.88249969482422,47.23749923706055,83121600,AAPL,0.0013264710478100294,0.008994100299563712,-0.010331737576970035,-0.012091062662626273,0.03683031750055599,0.011116553514043392,47.188500213623044,47.19225006103515,45.740250205993654,43.25009994506836,-0.00025957134579357444,0.031476655521081254,0.09086453823456497,1.031744466820849,72.336805615439,1.2409364072642504,1.2626688424272243,-0.021732435162973962,45.740250205993654,49.130755911040296,42.34974450094701,0.14825042232070526,0.7123208489280983,0.016515344686320294,0.014373746896436869,1.121250152587891,146264320.0,125483480.0,0.6624107013927252
2019-03-29,45.22314834594727,47.48749923706055,47.52000045776367,47.1349983215332,47.45750045776367,94256000,AAPL,0.006517569518774025,0.0013264710478100294,0.008994100299563712,-0.010331737576970035,-0.020708356973546005,0.013008215562104963,47.13349990844726,47.28800010681152,45.92750015258789,43.42514991760254,0.004218810899137226,0.0339665577113879,0.09354830846102202,1.029622773930729,68.03786448829291,1.2138343986650781,1.2529019536747952,-0.03906755500971704,45.92750015258789,49.266721180758395,42.58827912441738,0.14541270555011257,0.7335872754921154,0.01619421918043749,0.01431216247590327,1.0378576006208147,140072760.0,125019040.0,0.7539331609009315
2019-04-01,45.5302734375,47.810001373291016,47.91999816894531,47.095001220703125,47.90999984741211,111448000,AAPL,0.006791305952341675,0.006517569518774025,0.0013264710478100294,0.008994100299563712,-0.012091062662626273,0.010208517113258653,47.25849990844726,47.3685001373291,46.1198751449585,43.6020499420166,0.009320566086786108,0.03664637475752719,0.09650810998267945,1.027073468617295,67.26846421992232,1.2044944267420732,1.2432204482882507,-0.03872602154617755,46.1198751449585,49.42558996041387,42.814160329503125,0.14335315544828536,0.755637029006644,0.016040745627617512,0.014322876261408378,1.029464449201311,140729640.0,125104200.0,0.8908413946134502
2019-04-02,46.19215393066406,48.505001068115234,48.6150016784668,47.76250076293945,47.772499084472656,91062800,AAPL,0.014536701001068852,0.006791305952341675,0.006517569518774025,0.0013264710478100294,-0.010331737576970035,-0.007924717898659783,47.62000045776367,47.5557502746582,46.351000213623045,43.788049926757814,0.01996079944012319,0.046471507509326715,0.1077223386117272,1.0259918891821684,69.3007085357311,1.2388919238055536,1.2423547433917115,-0.003462819586157906,46.351000213623045,49.64441998204718,43.05758044519891,0.14210781874157555,0.8270158385432376,0.016098004049504976,0.01442166894907348,1.0476788112095419,137177360.0,125709860.0,0.7243886835925201
2019-04-03,46.5087776184082,48.837501525878906,49.125,48.28749847412109,48.3125,93087200,AAPL,0.00685497269233637,0.014536701001068852,0.006791305952341675,0.006517569518774025,0.008994100299563712,0.008738566951588034,47.9640007019043,47.73550033569336,46.61137523651123,43.9982999420166,0.023085569071987777,0.04775929219148911,0.1099861037867298,1.0241169691621026,68.62179510692147,1.2782473563258279,1.2495332659785348,0.02871409034729311,46.61137523651123,49.82137162239504,43.40137885062742,0.13773446372675935,0.8467490336059608,0.016048126093810542,0.01419520621150165,1.064821788242885,134072000.0,126202140.0,0.7376039740689024
2019-04-04,46.58972930908203,48.92250061035156,49.09249877929688,48.28499984741211,48.6974983215332,76457200,AAPL,0.0017404470297812669,0.00685497269233637,0.014536701001068852,0.006791305952341675,0.0013264710478100294,0.03683031750055599,48.31250076293945,47.75050048828125,46.90125026702881,44.2071499633789,0.02454424791543164,0.043095873389620065,0.10666488680855579,1.0181071979194007,66.41509315443659,1.301295016961184,1.2598856161750647,0.04140940078611943,46.90125026702881,49.81944373578155,43.98305679827607,0.12443990094670061,0.8463187696370683,0.011120781624106959,0.013641430139281298,1.0582144601004468,121304040.0,125065720.0,0.6113361838879591
2019-04-05,46.901611328125,49.25,49.275001525878906,48.98249816894531,49.11249923706055,74106400,AAPL,0.006694248772294742,0.0017404470297812669,0.00685497269233637,0.014536701001068852,0.006517569518774025,-0.020708356973546005,48.665000915527344,47.8992504119873,47.20237522125244,44.428649978637694,0.028199806393518267,0.043379697931506644,0.10851894045127453,1.0147635619493383,65.72127398008985,1.3306480355282346,1.2740381000456986,0.05660993548253601,47.20237522125244,49.74286703333341,44.661883409171466,0.1076425412989446,0.9029977126890063,0.008393358172516513,0.013608297806546753,1.0369644165039067,111751600.0,123971160.0,0.5977712880963605
