Date,Adj Close,Close,High,Low,Open,Volume,Ticker,daily_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10
2019-01-02,37.43690872192383,39.47999954223633,39.712501525878906,38.557498931884766,38.72249984741211,148158800,AAPL,,,,,,
2019-01-03,33.70792770385742,35.54750061035156,36.43000030517578,35.5,35.994998931884766,365248800,AAPL,-0.09960737025028876,,,,,
2019-01-04,35.14690017700195,37.06499862670898,37.13750076293945,35.95000076293945,36.13249969482422,234428400,AAPL,0.04268930277240113,-0.09960737025028876,,,,
2019-01-07,35.068660736083984,36.98249816894531,37.20750045776367,36.47499847412109,37.17499923706055,219111200,AAPL,-0.002225831939036249,0.04268930277240113,-0.09960737025028876,,,
2019-01-08,35.737186431884766,37.6875,37.95500183105469,37.130001068115234,37.38999938964844,164101200,AAPL,0.01906312082634498,-0.002225831939036249,0.04268930277240113,-0.09960737025028876,,
2019-01-09,36.34406280517578,38.32749938964844,38.63249969482422,37.407501220703125,37.8224983215332,180396400,AAPL,0.016981741682214002,0.01906312082634498,-0.002225831939036249,0.04268930277240113,,
2019-01-10,36.460227966308594,38.45000076293945,38.49250030517578,37.71500015258789,38.125,143122800,AAPL,0.003196174424155096,0.016981741682214002,0.01906312082634498,-0.002225831939036249,-0.09960737025028876,
2019-01-11,36.10225296020508,38.0724983215332,38.42499923706055,37.87749862670898,38.220001220703125,108092800,AAPL,-0.009818008684413626,0.003196174424155096,0.016981741682214002,0.01906312082634498,0.04268930277240113,
2019-01-14,35.55938720703125,37.5,37.817501068115234,37.30500030517578,37.712501525878906,129756800,AAPL,-0.015037056846080588,-0.009818008684413626,0.003196174424155096,0.016981741682214002,-0.002225831939036249,
2019-01-15,36.28717422485352,38.26750183105469,38.34749984741211,37.51250076293945,37.567501068115234,114843600,AAPL,0.020466715494791732,-0.015037056846080588,-0.009818008684413626,0.003196174424155096,0.01906312082634498,
2019-01-16,36.730464935302734,38.73500061035156,38.970001220703125,38.25,38.27000045776367,122278800,AAPL,0.01221660042928363,0.020466715494791732,-0.015037056846080588,-0.009818008684413626,0.016981741682214002,
2019-01-17,36.94857406616211,38.96500015258789,39.415000915527344,38.31499862670898,38.54999923706055,119284800,AAPL,0.005937770455975322,0.01221660042928363,0.020466715494791732,-0.015037056846080588,0.003196174424155096,-0.09960737025028876
2019-01-18,37.17615509033203,39.20500183105469,39.470001220703125,38.994998931884766,39.375,135004000,AAPL,0.006159416849145227,0.005937770455975322,0.01221660042928363,0.020466715494791732,-0.009818008684413626,0.04268930277240113
2019-01-22,36.3416862487793,38.32500076293945,39.182498931884766,38.15499877929688,39.102500915527344,121576000,AAPL,-0.022446142762788446,0.006159416849145227,0.005937770455975322,0.01221660042928363,-0.015037056846080588,-0.002225831939036249
2019-01-23,36.48867416381836,38.47999954223633,38.78499984741211,37.92499923706055,38.53749847412109,92522400,AAPL,0.004044325537150728,-0.022446142762788446,0.006159416849145227,0.005937770455975322,0.020466715494791732,0.01906312082634498
2019-01-24,36.19944763183594,38.17499923706055,38.619998931884766,37.935001373291016,38.52750015258789,101766000,AAPL,-0.00792620345125028,0.004044325537150728,-0.022446142762788446,0.006159416849145227,0.01221660042928363,0.016981741682214002
2019-01-25,37.39899826049805,39.43999862670898,39.532501220703125,38.58000183105469,38.869998931884766,134142000,AAPL,0.03313685435310654,-0.00792620345125028,0.004044325537150728,-0.022446142762788446,0.005937770455975322,0.003196174424155096
2019-01-28,37.05287170410156,39.07500076293945,39.08250045776367,38.415000915527344,38.9474983215332,104768400,AAPL,-0.00925451005270439,0.03313685435310654,-0.00792620345125028,0.004044325537150728,0.006159416849145227,-0.009818008684413626
2019-01-29,36.66883087158203,38.66999816894531,39.532501220703125,38.52750015258789,39.0625,166348800,AAPL,-0.010364749483978586,-0.00925451005270439,0.03313685435310654,-0.00792620345125028,-0.022446142762788446,-0.015037056846080588
2019-01-30,39.17457962036133,41.3125,41.53749847412109,40.057498931884766,40.8125,244439200,AAPL,0.06833467691179762,-0.010364749483978586,-0.00925451005270439,0.03313685435310654,0.004044325537150728,0.020466715494791732
2019-01-31,39.45669937133789,41.61000061035156,42.25,41.13999938964844,41.52750015258789,162958400,AAPL,0.007201225061459926,0.06833467691179762,-0.010364749483978586,-0.00925451005270439,-0.00792620345125028,0.01221660042928363
