Date,Adj Close,Close,High,Low,Open,Volume,Ticker,daily_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,sma_5,sma_10,sma_20,sma_50,price_vs_sma_10,price_vs_sma_20,price_vs_sma_50,ma_10_20_ratio,rsi_14,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,volatility_10,volatility_20,atr_14,volume_sma_10,volume_sma_20,volume_ratio,future_close,future_return,target
2019-03-14,43.74230194091797,45.932498931884766,46.025001525878906,45.63999938964844,45.97499847412109,94318000,AAPL,0.0111165535140433,0.0044221051106272,0.0112353819686996,0.0346422422503689,-0.0115746288276918,-0.0098358853361352,44.90800018310547,44.28825035095215,43.70399990081787,41.359249877929685,0.0371260677020008,0.0509907339402404,0.1105737910492299,1.0133683519005166,75.74160237657347,0.9708644478653669,0.8555834229622198,0.1152810249031469,43.70399990081787,45.59121024154171,41.81678956009403,0.0863632777323213,1.090421476339557,0.0125567371660271,0.009905774600223,0.700178691319058,104702640.0,96892720.0,0.9734271057722396,48.772499084472656,0.06182986379207119,UP
2019-03-15,44.311309814453125,46.52999877929688,46.83250045776367,45.935001373291016,46.212501525878906,156171600,AAPL,0.0130082155621049,0.0111165535140433,0.0044221051106272,0.0112353819686996,0.0023768328238225,0.0105111601985203,45.56849975585938,44.567000198364255,43.895499801635744,41.5002498626709,0.0440460109990681,0.0600175186423772,0.1211980393677147,1.0152977047707177,76.98590969822516,1.0731155069871503,0.899089839767206,0.1740256672199445,43.895499801635744,46.10372532335557,41.68727427991592,0.1006128433073468,1.0965194568554122,0.0126802263049536,0.0101129729189976,0.7126789093017584,109965320.0,100334160.0,1.556514750310363,47.76250076293945,0.026488330452975686,UP
2019-03-18,44.76365661621094,47.005001068115234,47.09749984741211,46.4474983215332,46.45000076293945,104879200,AAPL,0.0102085171132586,0.0130082155621049,0.0111165535140433,0.0044221051106272,0.0346422422503689,0.0050294614886725,46.0245002746582,44.87125015258789,44.115499877929686,41.729399871826175,0.047552740524754,0.0654985480881091,0.1264240849974673,1.0171311733234218,78.72428162722721,1.1788894195724993,0.9550497557282648,0.2238396638442346,44.115499877929686,46.6368963715428,41.594103384316576,0.1143088710584701,1.072996194272673,0.0127296774105126,0.010069447384012,0.7210717882428855,109478760.0,100652760.0,1.0419903040910157,47.185001373291016,0.0038293862586013284,FLAT
2019-03-19,44.40890884399414,46.63249969482422,47.247501373291016,46.47999954223633,47.087501525878906,126585600,AAPL,-0.0079247178986597,0.0102085171132586,0.0130082155621049,0.0111165535140433,0.0112353819686996,-0.0018197743139706,46.30550003051758,45.14625015258789,44.31049995422363,41.92074989318848,0.032920774974954,0.0524029235282699,0.1123966010541555,1.0188612224919074,73.52701750756151,1.218610872081129,1.0077619789988377,0.2108488930822913,44.31049995422363,46.98040770254603,41.64059220590123,0.1205090328965204,0.9348464365593876,0.0133209226357469,0.0104704351725971,0.7353575570242751,114242360.0,103187480.0,1.226753478232049,46.6974983215332,0.0013938482203260192,FLAT
2019-03-20,44.7969856262207,47.040000915527344,47.372501373291016,46.182498931884766,46.557498931884766,124140800,AAPL,0.008738566951588,-0.0079247178986597,0.0102085171132586,0.0130082155621049,0.0044221051106272,-0.0057539709101568,46.62799987792969,45.4872501373291,44.51212501525879,42.12189994812012,0.0341359561967449,0.0567907261089422,0.1167587638132339,1.0219069550540676,80.39690102998236,1.2683515847057407,1.0598799001402184,0.2084716845655223,44.51212501525879,47.370142274005126,41.65410775651245,0.128415224290757,0.9422429382699744,0.0126503054538373,0.0105062794868688,0.7848219190325061,118332280.0,104171640.0,1.191694783724246,47.11750030517578,0.0016475210063794,FLAT
2019-03-21,46.44689178466797,48.772499084472656,49.08250045776367,47.45249938964844,47.505001068115234,204136800,AAPL,0.0368303175005559,0.008738566951588,-0.0079247178986597,0.0102085171132586,0.0111165535140433,-0.0115746288276918,47.19599990844726,46.05200004577637,44.8125,42.34359992980957,0.0590745035175903,0.0883681804066423,0.1518269387893303,1.0276596941874785,83.75836032635355,1.431073061524586,1.134118532417092,0.296954529107494,44.8125,48.124140846991175,41.500859153008825,0.1477998704375419,1.0978907839705132,0.0137044275495314,0.0124517367010274,0.8903576987130312,128827400.0,110928540.0,1.8402549965951052,47.18000030517578,-0.032651572283362185,DOWN
2019-03-22,45.48504257202149,47.76250076293945,49.42250061035156,47.69499969482422,48.834999084472656,169630800,AAPL,-0.020708356973546,0.0368303175005559,0.008738566951588,-0.0079247178986597,0.0130082155621049,0.0023768328238225,47.44250030517578,46.50550003051758,45.038500022888186,42.53229995727539,0.0270290768102055,0.060481604375522,0.1229700912228568,1.03257213288373,73.05824310079271,1.4616832064708944,1.1996314672278523,0.2620517392430419,45.038500022888186,48.51198362160465,41.56501642417172,0.154245083515271,0.8921136609163567,0.0171131153219267,0.0138111664504025,0.9462506430489688,136190720.0,115627440.0,1.4670462305487348,47.48749923706055,-0.005757686919364349,FLAT
2019-03-25,44.93507766723633,47.185001373291016,47.994998931884766,46.650001525878906,47.87749862670898,175381200,AAPL,-0.0120910626626262,-0.020708356973546,0.0368303175005559,0.008738566951588,0.0102085171132586,0.0346422422503689,47.47850036621094,46.75150032043457,45.21987514495849,42.706999969482425,0.0092724522183293,0.0434571352095298,0.1048540381438285,1.0338706192922082,68.8984375784496,1.4229398279073422,1.2442931393637504,0.1786466885435917,45.21987514495849,48.74617735587013,41.69357293404686,0.1559624921390245,0.7786383739674558,0.0160304102954524,0.0143181116432631,1.0162503378731873,140924440.0,120021820.0,1.461244297078648,47.810001373291016,0.013245734487861647,FLAT
2019-03-26,44.470821380615234,46.6974983215332,48.220001220703125,46.14500045776367,47.915000915527344,199202000,AAPL,-0.01033173757697,-0.0120910626626262,-0.020708356973546,0.0368303175005559,-0.0079247178986597,0.0112353819686996,47.49150009155274,46.89850006103516,45.37562503814697,42.87949996948242,-0.0042858884450539,0.0291317922844025,0.0890401789845514,1.033561521667369,67.09387573934308,1.3374803582041397,1.2629305831318285,0.0745497750723112,45.37562503814697,48.87246717427799,41.87878290201596,0.1541286597458985,0.6890095737705767,0.016610880841024,0.0146631360258141,1.1360718863351014,147857600.0,126567880.0,1.573874825113607,48.505001068115234,0.038706629081852836,UP
2019-03-27,44.87080383300781,47.11750030517578,47.43999862670898,46.63750076293945,47.1875,119393600,AAPL,0.0089941002995637,-0.01033173757697,-0.0120910626626262,-0.020708356973546,0.008738566951588,0.0044221051106272,47.50699996948242,47.06749992370605,45.54562511444092,43.071849975585934,0.001062312244134,0.0345121004879231,0.0939279443971645,1.0334142918324465,72.46131222943026,1.2887874235625247,1.2681019512179676,0.020685472344557,45.54562511444092,49.03362845312386,42.05762177575797,0.1531652416634422,0.7253259297808469,0.016707018418372,0.0147125696506673,1.1487503051757817,147383960.0,126970480.0,0.940325656798336,48.837501525878906,0.036504509143372055,UP
