Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2019-01-02,94.01614379882812,101.12000274658203,101.75,98.94000244140625,99.55000305175781,35329300,MSFT
2019-01-03,90.5574951171875,97.4000015258789,100.19000244140625,97.19999694824219,100.0999984741211,42579100,MSFT
2019-01-04,94.76927185058594,101.93000030517578,102.51000213623047,98.93000030517578,99.72000122070312,44060600,MSFT
2019-01-07,94.89009857177734,102.05999755859375,103.2699966430664,100.9800033569336,101.63999938964844,35656100,MSFT
2019-01-08,95.57813262939453,102.80000305175781,103.97000122070312,101.70999908447266,103.04000091552734,31514400,MSFT
2019-01-09,96.94483184814453,104.2699966430664,104.87999725341797,103.23999786376953,103.86000061035156,32280800,MSFT
2019-01-10,96.32192993164062,103.5999984741211,103.75,102.37999725341797,103.22000122070312,30067600,MSFT
2019-01-11,95.57813262939453,102.80000305175781,103.44000244140625,101.63999938964844,103.19000244140625,28314200,MSFT
2019-01-14,94.88082122802734,102.05000305175781,102.87000274658203,101.26000213623047,101.9000015258789,28437100,MSFT
2019-01-15,97.63286590576172,105.01000213623047,105.05000305175781,101.87999725341797,102.51000213623047,31587600,MSFT
2019-01-16,97.97685241699219,105.37999725341797,106.26000213623047,104.95999908447266,105.26000213623047,29853900,MSFT
2019-01-17,98.6648941040039,106.12000274658203,106.62999725341797,104.76000213623047,105.0,28393000,MSFT
2019-01-18,100.14320373535156,107.70999908447266,107.9000015258789,105.91000366210938,107.45999908447266,37427600,MSFT
2019-01-22,98.25579833984375,105.68000030517578,107.0999984741211,104.86000061035156,106.75,32371300,MSFT
2019-01-23,99.21343231201172,106.70999908447266,107.04000091552734,105.33999633789062,106.12000274658203,25874300,MSFT
2019-01-24,98.73927307128906,106.19999694824219,107.0,105.33999633789062,106.86000061035156,23164800,MSFT
2019-01-25,99.64111328125,107.16999816894531,107.87999725341797,106.19999694824219,107.23999786376953,31225600,MSFT
2019-01-28,97.69795989990234,105.08000183105469,106.4800033569336,104.66000366210938,106.26000213623047,29476700,MSFT
2019-01-29,95.70831298828125,102.94000244140625,104.97000122070312,102.16999816894531,104.87999725341797,31490500,MSFT
2019-01-30,98.90662384033203,106.37999725341797,106.37999725341797,104.33000183105469,104.62000274658203,49471900,MSFT
2019-01-31,97.0936279296875,104.43000030517578,105.22000122070312,103.18000030517578,103.80000305175781,55636400,MSFT
