Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2019-01-02,147.87835693359375,154.8800048828125,155.75,150.8800048828125,150.99000549316406,58576700,QQQ
2019-01-03,143.0470733642578,149.82000732421875,153.25999450683594,149.49000549316406,152.60000610351562,74820200,QQQ
2019-01-04,149.16734313964844,156.22999572753906,157.0,151.74000549316406,152.33999633789062,74709300,QQQ
2019-01-07,150.9432373046875,158.08999633789062,158.86000061035156,156.11000061035156,156.6199951171875,52059300,QQQ
2019-01-08,152.30857849121094,159.52000427246094,160.11000061035156,157.1999969482422,159.5399932861328,49388700,QQQ
2019-01-09,153.5498504638672,160.82000732421875,161.52000427246094,159.47000122070312,160.13999938964844,46491700,QQQ
2019-01-10,153.98902893066406,161.27999877929688,161.3699951171875,158.6999969482422,159.60000610351562,38943400,QQQ
2019-01-11,153.4257049560547,160.69000244140625,160.86000061035156,159.7899932861328,160.3300018310547,30176600,QQQ
2019-01-14,152.0698699951172,159.27000427246094,159.9600067138672,158.58999633789062,159.3300018310547,30710200,QQQ
2019-01-15,155.03924560546875,162.3800048828125,162.60000610351562,159.91000366210938,160.0,40874200,QQQ
2019-01-16,155.01065063476562,162.35000610351562,163.77999877929688,162.2899932861328,162.64999389648438,33812200,QQQ
2019-01-17,156.23277282714844,163.6300048828125,164.36000061035156,161.57000732421875,161.8300018310547,39329000,QQQ
2019-01-18,157.77952575683594,165.25,166.02000427246094,163.82000732421875,164.77999877929688,57183200,QQQ
2019-01-22,154.61917114257812,161.94000244140625,164.13999938964844,160.75999450683594,164.05999755859375,56711700,QQQ
2019-01-23,154.8197021484375,162.14999389648438,163.50999450683594,160.32000732421875,162.77000427246094,38106100,QQQ
2019-01-24,155.8222198486328,163.1999969482422,163.44000244140625,162.05999755859375,162.67999267578125,32417800,QQQ
2019-01-25,157.68406677246094,165.14999389648438,165.64999389648438,163.9499969482422,164.50999450683594,36515900,QQQ
2019-01-28,155.73626708984375,163.11000061035156,163.1199951171875,161.75,163.02000427246094,33491200,QQQ
2019-01-29,154.26589965820312,161.57000732421875,163.24000549316406,160.99000549316406,163.1999969482422,30784200,QQQ
2019-01-30,158.19012451171875,165.67999267578125,166.27999877929688,162.88999938964844,163.39999389648438,41346500,QQQ
2019-01-31,160.5580291748047,168.16000366210938,168.99000549316406,166.47000122070312,166.6999969482422,37258400,QQQ
2019-02-01,159.88006591796875,167.4499969482422,168.60000610351562,166.99000549316406,167.3300018310547,32143700,QQQ
2019-02-04,161.8660430908203,169.52999877929688,169.52999877929688,167.3300018310547,167.47999572753906,26718800,QQQ
2019-02-05,163.29823303222656,171.02999877929688,171.22999572753906,169.69000244140625,169.75999450683594,28156400,QQQ
2019-02-06,162.8113555908203,170.52000427246094,171.3699951171875,169.75,171.07000732421875,27970000,QQQ
2019-02-07,160.6248321533203,168.22999572753906,169.4499969482422,166.9499969482422,169.02999877929688,42036200,QQQ
2019-02-08,160.93992614746094,168.55999755859375,168.58999633789062,166.57000732421875,166.75999450683594,29020700,QQQ
2019-02-11,160.78713989257812,168.39999389648438,169.5800018310547,167.97999572753906,169.1699981689453,21434100,QQQ
2019-02-12,163.16458129882812,170.88999938964844,171.13999938964844,169.3300018310547,169.6300048828125,29722100,QQQ
2019-02-13,163.27915954589844,171.00999450683594,172.16000366210938,170.82000732421875,171.64999389648438,26094100,QQQ
2019-02-14,163.47962951660156,171.22000122070312,171.8300018310547,169.8300018310547,170.39999389648438,30326800,QQQ
2019-02-15,164.1671142578125,171.94000244140625,172.55999755859375,171.13999938964844,172.52000427246094,32521700,QQQ
2019-02-19,164.4917449951172,172.27999877929688,172.8000030517578,171.3800048828125,171.41000366210938,19487700,QQQ
2019-02-20,164.46311950683594,172.25,173.0800018310547,171.32000732421875,172.39999389648438,32593000,QQQ
