Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2019-01-02,134.49887084960938,135.67999267578125,137.50999450683594,128.55999755859375,128.99000549316406,28146200,META
2019-01-03,130.59320068359375,131.74000549316406,137.1699981689453,131.1199951171875,134.69000244140625,22717900,META
2019-01-04,136.74911499023438,137.9499969482422,138.0,133.75,134.00999450683594,29002100,META
2019-01-07,136.84825134277344,138.0500030517578,138.8699951171875,135.91000366210938,137.55999755859375,20089300,META
2019-01-08,141.2892608642578,142.52999877929688,143.13999938964844,139.5399932861328,139.88999938964844,26263800,META
2019-01-09,142.97445678710938,144.22999572753906,144.6999969482422,141.27000427246094,142.9499969482422,22205900,META
2019-01-10,142.94473266601562,144.1999969482422,144.55999755859375,140.83999633789062,143.0800018310547,16125000,META
2019-01-11,142.5482177734375,143.8000030517578,145.36000061035156,142.57000732421875,143.14999389648438,12908000,META
2019-01-14,144.1243896484375,145.38999938964844,146.57000732421875,141.27000427246094,142.0,20520300,META
2019-01-15,147.65335083007812,148.9499969482422,150.67999267578125,145.99000549316406,146.00999450683594,24069000,META
2019-01-16,146.25563049316406,147.5399932861328,149.64999389648438,147.0,149.0,18025700,META
2019-01-17,147.00901794433594,148.3000030517578,149.0,146.5,146.9499969482422,15787900,META
2019-01-18,148.73388671875,150.0399932861328,152.42999267578125,148.5500030517578,149.75,31029600,META
2019-01-22,146.28541564941406,147.57000732421875,151.52999877929688,146.3699951171875,149.1999969482422,22378700,META
2019-01-23,143.0438232421875,144.3000030517578,148.8000030517578,143.05999755859375,148.27999877929688,20098400,META
2019-01-24,144.56051635742188,145.8300018310547,146.44000244140625,142.52000427246094,144.63999938964844,20955500,META
2019-01-25,147.7128143310547,149.00999450683594,149.8300018310547,146.5399932861328,147.47999572753906,22237200,META
2019-01-28,146.1862335205078,147.47000122070312,148.9600067138672,146.2100067138672,148.0500030517578,15508500,META
2019-01-29,142.93479919433594,144.19000244140625,148.10000610351562,143.42999267578125,148.08999633789062,17632100,META
2019-01-30,149.110595703125,150.4199981689453,150.9499969482422,145.6999969482422,146.22000122070312,44613200,META
2019-01-31,165.2389373779297,166.69000244140625,171.67999267578125,165.0,165.60000610351562,77233600,META
2019-02-01,164.26748657226562,165.7100067138672,169.10000610351562,165.66000366210938,165.83999633789062,30806500,META
2019-02-04,167.77664184570312,169.25,169.3000030517578,163.6199951171875,165.6999969482422,20036000,META
2019-02-05,169.67002868652344,171.16000366210938,171.97999572753906,168.69000244140625,169.14999389648438,22557000,META
2019-02-06,169.00587463378906,170.49000549316406,172.47000122070312,169.27000427246094,171.1999969482422,13281200,META
2019-02-07,164.931640625,166.3800048828125,169.24000549316406,165.25,168.1999969482422,17517600,META
2019-02-08,165.87335205078125,167.3300018310547,167.3699951171875,164.2100067138672,164.47000122070312,12561400,META
