Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,46.9215291750503,43.979913288266175,46.9215291750503,41.07267712524895
XGBoost,44.80885311871227,43.312708803489336,44.80885311871227,42.582375435378665
LSTM,47.25366876310272,44.03703781655977,47.25366876310272,42.85811316576565
