Date,Return,GrossReturn,Turnover,Cost,Positions,Equity
2024-01-02,-0.010495339690356431,-0.00949533969035643,1.0,0.001,3,0.9895046603096436
2024-01-03,0.0030760544205517375,0.0047427210872184045,1.6666666666666667,0.0016666666666666668,2,0.9925484304941455
2024-01-04,0.0006041808593791524,0.0016041808593791524,1.0,0.001,3,0.9931481092578568
2024-01-05,0.01856943597242289,0.019902769305756223,1.3333333333333333,0.0013333333333333333,3,1.0115903094838534
2024-01-08,-0.003928513509837027,-0.0029285135098370274,1.0,0.001,2,1.007616263286626
2024-01-09,0.0006094609318321744,0.0021094609318321744,1.5,0.0015,1,1.0082303660333778
2024-01-10,-0.0009187806204334157,-0.000252113953766749,0.6666666666666666,0.0006666666666666666,3,1.0073040235121338
2024-01-11,0.0003855367986822887,0.0010522034653489554,0.6666666666666666,0.0006666666666666666,3,1.0076923762806584
2024-01-12,0.0021624137702727095,0.0029624137702727094,0.8,0.0008,5,1.0098714241513265
2024-01-16,-0.006504341568395188,-0.005504341568395188,1.0,0.001,2,1.0033028754684845
2024-01-17,0.009389286769216465,0.010389286769216466,1.0,0.001,2,1.0127231738826377
2024-01-18,0.02950410815719584,0.02950410815719584,0.0,0.0,2,1.0426026679381697
2024-01-19,-0.006041159022890595,-0.004041159022890595,2.0,0.002,2,1.036304139423465
2024-01-22,0.00406725386228274,0.0055672538622827394,1.5,0.0015,4,1.0405190514370348
2024-01-23,0.002036488915580088,0.0027864889155800876,0.75,0.00075,3,1.0426380569517364
2024-01-24,0.011689278513176953,0.013689278513176953,2.0,0.002,3,1.054825743587883
2024-01-25,-0.008948286767869813,-0.006948286767869812,2.0,0.002,3,1.045386860344127
2024-01-26,0.01831466146902841,0.01956466146902841,1.25,0.00125,4,1.0645327667955
2024-01-29,-0.005070578533267153,-0.003820578533267153,1.25,0.00125,3,1.0591349698002273
2024-01-30,-0.022628485600396653,-0.021628485600396652,1.0,0.001,2,1.0351683493872263
2024-01-31,0.009708406925759472,0.010708406925759473,1.0,0.001,4,1.0452181849597444
2024-02-01,0.023380281964984328,0.02463028196498433,1.25,0.00125,3,1.0696556808390325
2024-02-02,-0.0014667490608653749,0.00019991760580129192,1.6666666666666667,0.0016666666666666668,2,1.0680867643737124
2024-02-05,0.006750981069954921,0.007750981069954921,1.0,0.001,2,1.0752973979010687
2024-02-06,0.006840408570300495,0.008340408570300495,1.5,0.0015,1,1.082652871437293
2024-02-07,-0.0008690361046200794,-0.0002023694379534128,0.6666666666666666,0.0006666666666666666,3,1.0817120070032433
2024-02-08,0.004662040723913113,0.00632870739057978,1.6666666666666667,0.0016666666666666668,2,1.0867549924314381
2024-02-09,-0.001,0.0,1.0,0.001,0,1.0856682374390068
2024-02-12,-0.01804602238217734,-0.01704602238217734,1.0,0.001,5,1.0660762441265634
2024-02-13,0.018621585071787173,0.019221585071787173,0.6,0.0006,2,1.0859282735995777
2024-02-14,0.0015039442041729365,0.0025039442041729365,1.0,0.001,2,1.0875614491328052
2024-02-15,-0.004146162632681119,-0.0038128292993477864,0.3333333333333333,0.0003333333333333333,3,1.0830522424916662
2024-02-16,-0.006699469242362994,-0.005032802575696327,1.6666666666666667,0.0016666666666666668,2,1.075796367305221
2024-02-20,0.0040520239011337215,0.0050520239011337216,1.0,0.001,3,1.0801555198982946
2024-02-21,0.017550559757536055,0.018550559757536056,1.0,0.001,2,1.099112853897702
2024-02-22,6.162400527243324e-05,0.0020616240052724333,2.0,0.002,2,1.0991805856340056
2024-02-23,-0.009137410695960411,-0.007137410695960411,2.0,0.002,2,1.0891369211940414
2024-02-26,-0.0032692134067227024,-0.0012692134067227023,2.0,0.002,2,1.0855763001695171
2024-02-27,-0.006252722070235499,-0.005252722070235499,1.0,0.001,4,1.0787884932785226
2024-02-28,0.02003996747858297,0.02078996747858297,0.75,0.00075,1,1.1004073796000937
2024-02-29,0.013749179905681365,0.015249179905681365,1.5,0.0015,2,1.1155370786317549
2024-03-01,-0.0008158248275020315,-0.00031582482750203145,0.5,0.0005,4,1.114626995787008
2024-03-04,-0.013291817800367423,-0.012291817800367422,1.0,0.001,2,1.0998115768436363
2024-03-05,-0.001,0.0,1.0,0.001,0,1.0987117652667926
2024-03-06,0.0173051092483677,0.0183051092483677,1.0,0.001,2,1.1177250923972013
2024-03-07,-0.0004914542361646628,0.001175212430502004,1.6666666666666667,0.0016666666666666668,3,1.117175781665675
2024-03-08,-0.005518287796241785,-0.004184954462908452,1.3333333333333333,0.0013333333333333333,1,1.1110108841834525
2024-03-11,0.06957180253269502,0.07157180253269502,2.0,0.002,1,1.1883059140295384
2024-03-12,-0.01655007865240839,-0.015216745319075057,1.3333333333333333,0.0013333333333333333,3,1.1686393576892276
2024-03-13,-0.04185144306210805,-0.04118477639544138,0.6666666666666666,0.0006666666666666666,1,1.1197301141507583
2024-03-14,-0.003916311790648497,-0.0034163117906484963,0.5,0.0005,2,1.1153449019023656
2024-03-15,0.010267716994337818,0.011934383661004485,1.6666666666666667,0.0016666666666666668,3,1.1267969477061766
2024-03-18,7.620833156215352e-05,0.0020762083315621536,2.0,0.002,3,1.1268828190215705
2024-03-19,0.0111900075304107,0.011856674197077366,0.6666666666666666,0.0006666666666666666,1,1.1394926462523125
2024-03-20,0.00976244734276799,0.01176244734276799,2.0,0.002,1,1.1506168832088222
2024-03-21,0.008290572433496958,0.009790572433496958,1.5,0.0015,2,1.1601561558222695
2024-03-22,-0.013007507988641585,-0.011007507988641585,2.0,0.002,2,1.1450654153573396
2024-03-25,-0.0015788578368824214,8.780882978424535e-05,1.6666666666666667,0.0016666666666666668,3,1.1432575198525596
2024-03-26,-0.0063012016539786275,-0.0056345349873119606,0.6666666666666666,0.0006666666666666666,3,1.1360536236775411
2024-03-27,-0.00674423397735809,-0.006077567310691423,0.6666666666666666,0.0006666666666666666,3,1.1283918122286343
2024-03-28,0.009469090476195301,0.010802423809528635,1.3333333333333333,0.0013333333333333333,3,1.1390766563912254
2024-04-01,0.01091860304377453,0.012251936377107864,1.3333333333333333,0.0013333333333333333,1,1.151513782238791
2024-04-02,0.004424134481407939,0.005924134481407939,1.5,0.0015,2,1.1566082340686104
2024-04-03,-0.01146112949363124,-0.010461129493631241,1.0,0.001,3,1.14335219732455
2024-04-04,-0.036959149231776865,-0.036292482565110196,0.6666666666666666,0.0006666666666666666,1,1.1010948728391519
2024-04-05,0.005728573109793431,0.007061906443126764,1.3333333333333333,0.0013333333333333333,3,1.1074025753190295
2024-04-08,0.0026469828681377683,0.003980316201471101,1.3333333333333333,0.0013333333333333333,1,1.1103338509640306
2024-04-09,0.00400642446326588,0.00550642446326588,1.5,0.0015,2,1.114782319666925
2024-04-10,0.005911981528568793,0.00757864819523546,1.6666666666666667,0.0016666666666666668,3,1.121372892149171
2024-04-11,-0.022797716557537612,-0.021131049890870945,1.6666666666666667,0.0016666666666666668,2,1.0958081507986481
2024-04-12,-0.021614087872574517,-0.020614087872574516,1.0,0.001,2,1.0721232571358028
2024-04-15,-0.006577587286735352,-0.004577587286735352,2.0,0.002,2,1.065071272829853
2024-04-16,-0.004099014342854422,-0.0020990143428544217,2.0,0.002,2,1.0607055304063613
2024-04-17,-0.011477827639266375,-0.010477827639266376,1.0,0.001,3,1.0485309351523404
2024-04-18,-0.10137940470999711,-0.10004607137666377,1.3333333333333333,0.0013333333333333333,1,0.9422314931265796
2024-04-19,0.012212489411733031,0.014212489411733031,2.0,0.002,1,0.9537384852597893
2024-04-22,0.009938581575549001,0.011438581575549,1.5,0.0015,2,0.9632172929972843
2024-04-23,0.002521736353923721,0.003521736353923721,1.0,0.001,2,0.9656462730617636
2024-04-24,-0.007958086488385436,-0.006291419821718769,1.6666666666666667,0.0016666666666666668,3,0.9579615765035511
2024-04-25,0.03292702833520352,0.034260361668536854,1.3333333333333333,0.0013333333333333333,1,0.9895044044771196
2024-04-26,0.0020603248259860613,0.004060324825986061,2.0,0.002,1,0.9915431049670864
2024-04-29,-0.057501180639447425,-0.05550118063944742,2.0,0.002,1,0.9345282057765754
2024-04-30,0.008705899294641311,0.010039232627974645,1.3333333333333333,0.0013333333333333333,3,0.9426641142240682
2024-05-01,0.031692297786727996,0.032692297786728,1.0,0.001,2,0.9725393060449194
2024-05-02,-0.001,0.0,1.0,0.001,0,0.9715667667388745
2024-05-03,0.006821140812171556,0.007821140812171556,1.0,0.001,1,0.9781939604632267
2024-05-06,-0.012156241524996279,-0.010156241524996279,2.0,0.002,1,0.9663027984215431
2024-05-07,0.018338951220257638,0.02033895122025764,2.0,0.002,1,0.9840237783057942
2024-05-08,-0.001,0.0,1.0,0.001,0,0.9830397545274885
2024-05-09,-0.004979007603789997,-0.003979007603789997,1.0,0.001,3,0.9781451921148683
2024-05-10,0.004695692608591412,0.006695692608591412,2.0,0.002,3,0.9827382612636114
2024-05-13,0.005833914351956646,0.007167247685289979,1.3333333333333333,0.0013333333333333333,3,0.988471472110214
2024-05-14,0.006191716857382328,0.007858383524048995,1.6666666666666667,0.0016666666666666668,2,0.9945918075871204
2024-05-15,-0.001,0.0,1.0,0.001,0,0.9935972157795333
2024-05-16,0.0,0.0,0.0,0.0,0,0.9935972157795333
2024-05-17,0.0,0.0,0.0,0.0,0,0.9935972157795333
2024-05-20,0.007698951988733272,0.008698951988733272,1.0,0.001,1,1.001246873039959
2024-05-21,-0.002197446994955941,-0.00019744699495594098,2.0,0.002,1,0.9990466861075884
2024-05-22,-0.03736724832380789,-0.03536724832380789,2.0,0.002,1,0.9617150605007287
2024-05-23,0.005965558925758898,0.007465558925758897,1.5,0.0015,2,0.9674522283639357
2024-05-24,0.023544899449524388,0.02454489944952439,1.0,0.001,3,0.990230793802983
2024-05-28,-0.0030680304193109,-0.0027346970859775666,0.3333333333333333,0.0003333333333333333,2,0.9871927356054571
2024-05-29,-0.001,0.0,1.0,0.001,0,0.9862055428698516
2024-05-30,-0.012953412400510345,-0.011953412400510344,1.0,0.001,2,0.9734308157613892
2024-05-31,0.0006306748412053826,0.0026306748412053826,2.0,0.002,2,0.9740447340865441
2024-06-03,-0.005799905224312617,-0.004799905224312617,1.0,0.001,2,0.9683953669446014
2024-06-04,-0.010040114080821227,-0.009540114080821227,0.5,0.0005,1,0.9586725669851388
2024-06-05,-0.001,0.0,1.0,0.001,0,0.9577138944181537
2024-06-06,-0.0019091109716919954,-0.0009091109716919954,1.0,0.001,1,0.9558855123145781
2024-06-07,0.0004297464762726971,0.0010964131429393638,0.6666666666666666,0.0006666666666666666,3,0.9562963007452155
2024-06-10,0.01792366063847481,0.01867366063847481,0.75,0.00075,4,0.9734366311096015
2024-06-11,0.01234774160657362,0.01309774160657362,0.75,0.00075,1,0.9854563751009164
2024-06-12,-0.01837325468771578,-0.016373254687715777,2.0,0.002,1,0.9673503341375541
2024-06-13,0.015514113585149094,0.017514113585149094,2.0,0.002,1,0.982357917097996
2024-06-14,0.007072356461064634,0.007822356461064633,0.75,0.00075,4,0.989305502460062
2024-06-17,0.010494708749574866,0.011494708749574867,1.0,0.001,2,0.9996879755727321
2024-06-18,-0.03590347386732645,-0.03540347386732645,0.5,0.0005,1,0.963795704466276
2024-06-20,-0.001,0.0,1.0,0.001,0,0.9628319087618098
2024-06-21,-0.03559501744347726,-0.03459501744347726,1.0,0.001,2,0.9285598901742966
2024-06-24,0.024680418095086143,0.025680418095086144,1.0,0.001,4,0.9514771364901256
2024-06-25,0.0017086025615984663,0.0024586025615984664,0.75,0.00075,1,0.9531028327628349
2024-06-26,0.009181976851048547,0.010681976851048547,1.5,0.0015,2,0.9618542009099321
2024-06-27,-0.019082706980395325,-0.017582706980395324,1.5,0.0015,1,0.9434994190361056
2024-06-28,0.004151870896861311,0.006151870896861311,2.0,0.002,1,0.9474167068152072
2024-07-01,0.0011691206110243661,0.0016691206110243662,0.5,0.0005,2,0.9485243512143737
2024-07-02,0.012359332453278249,0.01285933245327825,0.5,0.0005,4,0.9602474790110622
2024-07-03,0.0002607742238017194,0.0012607742238017194,1.0,0.001,2,0.9604978868020588
