Date,Return,GrossReturn,Turnover,Cost,Positions,Equity
2024-01-02,-0.009093888963330927,-0.008093888963330928,1.0,0.001,3,0.990906111036669
2024-01-03,0.005059467348798474,0.005726134015465141,0.6666666666666666,0.0006666666666666666,3,0.995919568151184
2024-01-04,0.00027084752604581916,0.0016041808593791524,1.3333333333333333,0.0013333333333333333,3,0.9961893105023584
2024-01-05,0.014899135376650368,0.016565802043317035,1.6666666666666667,0.0016666666666666668,2,1.011031669900305
2024-01-08,-0.001,0.0,1.0,0.001,0,1.0100206382304047
2024-01-09,0.0047336230036164615,0.0057336230036164615,1.0,0.001,3,1.0148016951576595
2024-01-10,-0.001,0.0,1.0,0.001,0,1.0137868934625018
2024-01-11,0.0012623779864049398,0.00226237798640494,1.0,0.001,2,1.0150666757197147
2024-01-12,0.00017288116576822895,0.0018395478324348957,1.6666666666666667,0.0016666666666666668,3,1.0152421616299456
2024-01-16,-0.008412359871990127,-0.007412359871990126,1.0,0.001,2,1.0067015792090974
2024-01-17,0.01678308564992881,0.01778308564992881,1.0,0.001,3,1.0235971380368822
2024-01-18,0.0256130704462166,0.026279737112883266,0.6666666666666666,0.0006666666666666666,3,1.0498146036419664
2024-01-19,-0.004801303669226337,-0.0031346370025596704,1.6666666666666667,0.0016666666666666668,2,1.0447741249334928
2024-01-22,-0.001,0.0,1.0,0.001,0,1.0437293508085592
2024-01-23,0.023869279738174654,0.024869279738174654,1.0,0.001,1,1.0686424186539523
2024-01-24,0.01631447149853188,0.01781447149853188,1.5,0.0015,2,1.0860767549352044
2024-01-25,-0.001,0.0,1.0,0.001,0,1.0849906781802692
2024-01-26,0.009240429350160784,0.010240429350160785,1.0,0.001,1,1.0950164578875772
2024-01-29,0.006349109595919575,0.007682442929252908,1.3333333333333333,0.0013333333333333333,3,1.1019688373880412
2024-01-30,-0.025232723595961105,-0.023899390262627773,1.3333333333333333,0.0013333333333333333,1,1.0741631623028662
2024-01-31,0.011340600842146166,0.013340600842146166,2.0,0.002,1,1.0863448179658806
2024-02-01,0.003756058392865526,0.005756058392865526,2.0,0.002,1,1.0904251925369473
2024-02-02,-0.0013000823941987081,0.00019991760580129192,1.5,0.0015,2,1.0890075499419394
